,Channel_name,Subscribers,Total_Views,Total_Videos,Description,Channel_Creation_Date,playlist_id,Channel_id
0,Panda,12200000,2142108129,1471,"SUB for SURPRISE

Hey and welcome to this channel!
My name is Panda and I'm a professional Mobile Gamer! I upload some of my best gameplay when playing pubgm (pubg mobile) atm, but might start uploading more games in the future! My highest Rank I have had in pubgm is conqueror. Will also make reviews on new updates in games!

For business: 
panda@viralnation.com

Thanks for watching! 🐼",2018-05-21T12:34:17Z,UUj0sKQk9qjiIfNH22ZBWpxw,UCj0sKQk9qjiIfNH22ZBWpxw
1,Techno Gamerz,32400000,9019101317,919,"Hey Everyone! This is Ujjwal here! Welcome to ""Techno Gamerz"" YouTube Channel!
I created this channel for android games i upload daily videos about mobile related games and gaming news so if you’re interested in playing games so this channel is helpful for you.
Please SUBSCRIBE to Techno Gamerz, Thanks.

If you are looking for somebody to make a review of your products or product of your company, such as:
phones, tablets, PC, gadgets or even apps, you can contact us so we can make a deal...

For Business enquiries: technogamerzofficial@gmail.com",2017-08-13T16:15:04Z,UUX8pnu3DYUnx8qy8V_c6oHg,UCX8pnu3DYUnx8qy8V_c6oHg
2,Mann ki aawaz Motivation,3310000,276733197,363,"This channel is about motivational speech and energetic quotes to motivate you to work hard in life and face all the challenges.
Students will also get study tips and inspiration in my videos.
Change your life with Best motivation and fill your life with positivity.

Business enquiry - maxartstudio10@gmail.com",2018-11-13T16:52:40Z,UUAJRGrHzQth3r4JeJkTtLjQ,UCAJRGrHzQth3r4JeJkTtLjQ
3,Thomas Frank,2880000,170894698,275,"I make videos that help you be more productive - whether you're in high school, college, university, or the real world. That includes study tips to help you learn faster and ace your exams, advice on destroying procrastination, reading and note-taking strategies, and more. You can't prove that I don't fight bears in my spare time.

The deets: I currently upload 3 or 4 videos a month.

On my website - College Info Geek - you'll find...

A weekly podcast ➔ Sometimes I interview people, sometimes my friend Martin co-hosts the show with me.
Lots of blog posts ➔ 10 years' worth, in fact - many of which I wrote when I was a college student.

Some facts about me...

Age: 28
Majored in: Management Information Systems
Filming setup: Canon C500, Schoeps CMC641, way too much gear
Beard: Awesome
Favorite game: DDR
Favorite book: Hitchhiker's Guide to the Galaxy
Favorite travel accessory: Towel ;)
Horrifying dark secret: ???",2006-12-02T23:50:24Z,UUG-KntY7aVnIGXYEBQvmBAQ,UCG-KntY7aVnIGXYEBQvmBAQ
4,Deepak Daiya,3720000,230235332,228,"This Channel Is All About High Power Motivational Videos And Our Videos Also Include Topics Like Inspiring Speech, Inspiring Stories, Personality Development, Self Improvements And Many More. 

I Started This YouTube Channel At The Age Of 16 With 0 Money And After A Lots Of Struggle Now We Have Over 3 Million Subscribers and 170 Million+ Viewership on this Channel.. 
I Just Want To Say That ""I Started With Nothing, Now I Stop For Nothing""
 
My YouTube Journey:-

                 1 to 10           (15/12/2018)
               10 to 100         (23/01/2019)
             100 to 1000      (16/06/2019)  
           1000 to 10000    (07/07/2019) 
         10000 to 100000  ( 22/09/2019) 
       100000 to 1000000 (09/04/2020)
     

Contact us :
deepakdaiyaofficial@gmail.com
",2017-05-04T15:26:45Z,UU1gDWPG73kPaiTdat8ypvAA,UC1gDWPG73kPaiTdat8ypvAA
5,HELPING GAMER,7840000,619287891,1319,"WELCOME TO HELPING GAMER.

HELLO DOSTO,

Hi everyone I am sarfraj,

Business contact: Helpinggamerjk@gmail.com



Thank you",2018-04-03T03:14:55Z,UUMmMsJI54IsODpEsG08PsJA,UCMmMsJI54IsODpEsG08PsJA
6,TechRadar,410000,145568609,2445,"The latest technology news and reviews, covering phones, computing, home entertainment systems, gadgets, cameras, video games and more.",2009-02-22T21:44:22Z,UUAY_M9HyJb8oMKPV1utQQyA,UCAY_M9HyJb8oMKPV1utQQyA
7,UrAvgConsumer,3220000,494552943,1098,"Just your average guy who loves tech and giving his opinions on it.

For business inquires please email UrAvgConsumer@gmail.com and UrAvgGf@gmail.com. 

Follow us on Instagram 🔥
Judner, @uravgconsumer: http://bit.ly/1Q7GoH4
Arie, @uravggf: http://bit.ly/2fq9Ngf

Meet the Team! 
Judner Aura, host
Arielle Hoo, production lead and lead editor
Jianan He, 3D Animation Director

Want to send us something? Send here:
Judner Aura
UPS Store
137 1/2 Washington Ave #256
Belleville, NJ 07109

DO NOT ACCEPT EMAILS FROM uravgconsumerreviews@gmail.com OR ANY OTHER EMAILS NOT LISTED ABOVE.",2012-01-01T23:54:16Z,UU9fSZHEh6XsRpX-xJc6lT3A,UC9fSZHEh6XsRpX-xJc6lT3A
8,Motivation2Study,4040000,282778563,322,"Our mission is to inspire, educate and help students of all ages with both lack of motivation and mental health awareness. We work with motivational speakers to create life changing motivational videos to help us achieve this goal.

Subscribe for a new Motivational Video on Success, Study Tips, and/or Mental Health every Sunday!",2017-03-04T06:44:42Z,UU8PICQUP0a_HsrA9S4IIgWw,UC8PICQUP0a_HsrA9S4IIgWw
9,Motives Media,428000,52034468,321,"Hi, I'm Afsal.

Most schools and colleges fail at realizing and imparting real-life education. Motives Media was launched for this purpose to impart free education on our day-to-day life lessons. We dream of a new world full of potentially productive individuals.

We cover a range of topics that help you achieve your dreams and success. Be it financial education, health education, or daily motivation, we're here to guide you on them. The channel is particularly based in Kerala and the medium of communication will be Malayalam, mostly. However, the content is made in such a way that most of us, be it any region, would understand.

Our channel is for youths and students of the world who dreams of a bright future. This channel will help you make your dreams come true and reap success.

For promotions - motivesmediachannel@gmail.com

Subscribe to our channel for daily motivational and self-improvement content.",2020-01-17T13:19:47.438824Z,UUJKGU9G_MdI7sNjGJohFTgA,UCJKGU9G_MdI7sNjGJohFTgA
